Album,Artist,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TrackURI,TrackID
Taylor Swift,Taylor Swift,Our Song,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,201107,4,spotify:track:15DeqWWQB4dcEWzJg15VrN,15DeqWWQB4dcEWzJg15VrN
Taylor Swift,Taylor Swift,I'm Only Me When I'm With You,0.713,0.27,11,-12.484,0,0.939,0.881,0.0,0.141,0.571,108.258,51920,5,spotify:track:1nmUwsjwOgeBxETJ51VMjx,1nmUwsjwOgeBxETJ51VMjx
Taylor Swift,Taylor Swift,Invisible,0.612,0.394,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001,203227,4,spotify:track:5OOd01o2YS1QFwdpVLds3r,5OOd01o2YS1QFwdpVLds3r
Taylor Swift,Taylor Swift,A Perfectly Good Heart,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092,220147,4,spotify:track:1spLfUJxtyVyiKKTegQ2r4,1spLfUJxtyVyiKKTegQ2r4
Fearless,Taylor Swift,Fearless,0.594,0.712,5,-4.418,1,0.0273,0.04,0.0,0.309,0.476,99.972,241987,4,spotify:track:6Eu31gddWw0gOGO506pJYA,6Eu31gddWw0gOGO506pJYA
Fearless,Taylor Swift,Fifteen,0.556,0.651,7,-4.396,1,0.0266,0.067,0.0,0.145,0.203,95.485,294333,4,spotify:track:4t0OI7XrODjSkAu3bTPmWj,4t0OI7XrODjSkAu3bTPmWj
Fearless,Taylor Swift,Love Story,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984,235267,4,spotify:track:1vrd6UOGamcKNGnSHJQlSt,1vrd6UOGamcKNGnSHJQlSt
Fearless,Taylor Swift,Hey Stephen,0.841,0.544,6,-7.347,1,0.0309,0.194,2.48e-06,0.108,0.831,115.994,254307,4,spotify:track:4WXzzCof26KJLTK5kK53dS,4WXzzCof26KJLTK5kK53dS
Fearless,Taylor Swift,White Horse,0.578,0.34,0,-8.027,1,0.0264,0.305,0.0,0.104,0.223,92.702,234427,4,spotify:track:6wn61Fzx9XMxQmieLpoIhW,6wn61Fzx9XMxQmieLpoIhW
Fearless,Taylor Swift,You Belong With Me,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,231133,4,spotify:track:3GCL1PydwsLodcpv0Ll1ch,3GCL1PydwsLodcpv0Ll1ch
Fearless,"Taylor Swift, Colbie Caillat",Breathe,0.498,0.486,1,-7.384,1,0.0273,0.373,0.0,0.113,0.17,147.952,263987,4,spotify:track:6S9G7J3EB1ZY0rrZPwsBg5,6S9G7J3EB1ZY0rrZPwsBg5
Fearless,Taylor Swift,Tell Me Why,0.604,0.855,7,-3.097,1,0.038,0.0571,3.65e-06,0.343,0.51,99.96,200547,4,spotify:track:3rnI1UCyGJvUTVvT97VQr5,3rnI1UCyGJvUTVvT97VQr5
Fearless,Taylor Swift,Youre Not Sorry,0.475,0.452,6,-4.134,1,0.027,0.146,1.36e-06,0.108,0.276,133.959,261787,4,spotify:track:0HmCuN0Z3OX1Qrz43FLOPL,0HmCuN0Z3OX1Qrz43FLOPL
Fearless,Taylor Swift,The Way I Loved You,0.433,0.7,5,-3.709,1,0.0336,0.0408,0.0,0.115,0.398,160.927,244227,4,spotify:track:5P4wWhUYWM0IaVYLuZxdar,5P4wWhUYWM0IaVYLuZxdar
Fearless,Taylor Swift,Forever & Always,0.608,0.821,10,-4.985,1,0.0576,0.0752,0.0,0.11,0.544,128.042,225320,4,spotify:track:47HtKpfzpAt8rQjjXWotFj,47HtKpfzpAt8rQjjXWotFj
Fearless,Taylor Swift,The Best Day,0.666,0.434,1,-8.543,1,0.0289,0.647,1.95e-06,0.124,0.396,126.084,245333,4,spotify:track:3esA216TyLHEkNiBCeCmcg,3esA216TyLHEkNiBCeCmcg
Fearless,Taylor Swift,Change,0.541,0.77,5,-4.17,1,0.0354,0.00408,0.0,0.117,0.215,96.013,280240,4,spotify:track:1yACRKAwlXWhXXFUSkvzhD,1yACRKAwlXWhXXFUSkvzhD
Speak Now,Taylor Swift,Mine,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,230707,4,spotify:track:0dBW6ZsW8skfvoRfgeerBF,0dBW6ZsW8skfvoRfgeerBF
Speak Now,Taylor Swift,Sparks Fly,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,260933,4,spotify:track:1q8E1FfFuhd12c5JcJwPxQ,1q8E1FfFuhd12c5JcJwPxQ
Speak Now,Taylor Swift,Back To December,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,293027,4,spotify:track:3DrjZArsPsoqbLzUZZV1Id,3DrjZArsPsoqbLzUZZV1Id
Speak Now,Taylor Swift,Speak Now,0.709,0.599,7,-3.734,1,0.0304,0.095,0.0,0.0973,0.735,118.975,240760,4,spotify:track:1nYWTzy5zu3zEPNgB1sItW,1nYWTzy5zu3zEPNgB1sItW
Speak Now,Taylor Swift,Dear John,0.589,0.47,4,-5.32,1,0.028,0.166,1.45e-06,0.112,0.102,119.386,403920,3,spotify:track:1ubvV5ECkm6nSI6g1HmbBK,1ubvV5ECkm6nSI6g1HmbBK
